Title,Author,Price(in ₹),Book Format,Rating,Ratings Count,URL
"House of Sky and Breath: The unmissable new fantasy, now a #1 Sunday Times bestseller, from the multi-million-selling author of A Court of Thorns and Roses (Crescent City)",,749,Hardcover,4.8,,https://www.amazon.in/House-Sky-Breath-multi-million-bestselling/dp/1408884429/ref=sr_1_61?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-61
AI BASICS FOR SCHOOL STUDENTS: As per the CBSE Inspire Module for Artificial Intelligence,,149,Paperback,3.8,,https://www.amazon.in/BASICS-SCHOOL-STUDENTS-Artificial-Intelligence/dp/1647608082/ref=sr_1_62?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-62
"The Story of Our Secrets: An emotional, uplifting new novel from #1 bestseller Shari Low",,0,Kindle Edition,4.5,,https://www.amazon.in/Story-Our-Secrets-emotional-bestseller-ebook/dp/B09B1Q1Q7G/ref=sr_1_63?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-63
"Alfie the Christmas Cat: An uplifting festive treat from the Sunday Times bestseller (Alfie series, Book 7)",,"447
                           
                            .",Kindle Edition,4.8,,https://www.amazon.in/Alfie-Christmas-Cat-uplifting-bestseller-ebook/dp/B0875TCC4Z/ref=sr_1_64?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-64
Pug Actually: From the half-a-million-copy bestselling author comes a romantic comedy with a four-legged hero…,,418,Hardcover,4.3,,https://www.amazon.in/Pug-Actually-half-million-copy-bestselling/dp/0008455481/ref=sr_1_65?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-65
With a Mind to Kill (Lead Title): The explosive new James Bond thriller from the no.1 Sunday Times bestseller (James Bond 007),,578,Paperback,,,https://www.amazon.in/Mind-Kill-Lead-Title-bestseller/dp/1787333493/ref=sr_1_66?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-66
Dracula (Wordsworth Classics),,"981
                              
                               .",Paperback,4.6,,https://www.amazon.in/Dracula-Wordsworth-Classics-Bram-Stoker/dp/185326086X/ref=sr_1_67?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-67
"Backstabber: The No. 1 bestseller at her shocking, gripping best – this book has a twist and a sting in its tail!",,214,Paperback,4.7,,https://www.amazon.in/Backstabber-bestseller-shocking-gripping-Butlers/dp/0007521847/ref=sr_1_68?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-68
French Braid: The Sunday Times Bestseller,,562,Paperback,4.1,,https://www.amazon.in/French-Braid-Anne-Tyler/dp/1784744638/ref=sr_1_69?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-69
The Book Thief: TikTok made me buy it! The life-affirming international bestseller,,"280
                            
                             .",Kindle Edition,4.6,,https://www.amazon.in/Book-Thief-10th-Anniversary-ebook/dp/B01B2DJKHC/ref=sr_1_70?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-70
Before You Start Up: How to Prepare to Make Your Startup Dream a Reality,,199,Paperback,4.3,,https://www.amazon.in/Before-You-Start-Up-Prepare/dp/8175994401/ref=sr_1_71?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-71
The Seven Husbands of Evelyn Hugo: A Novel,,275,Paperback,4.5,,https://www.amazon.in/Seven-Husbands-Evelyn-Hugo-Novel/dp/1501161938/ref=sr_1_72?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-72
"Changes: An epic, unputdownable read from the worldwide bestseller",,"267
                            
                             .",Kindle Edition,4.5,,https://www.amazon.in/Changes-Danielle-Steel-ebook/dp/B00X664B4Q/ref=sr_1_73?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-73
Wedding Night Reunion In Greece: Wedding Night Reunion in Greece / Billionaire's Mediterranean Proposal (Mills & Boon Modern),,232,Paperback,4.9,,https://www.amazon.in/Wedding-Night-Reunion-Greece-Mediterranean/dp/0263273423/ref=sr_1_74?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-74
The Flower Seller: The best historical romance book of the year from the Queen of West Country Saga,,159,Paperback,4.6,,https://www.amazon.in/Flower-Seller-Linda-Finlay/dp/0008262942/ref=sr_1_75?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-75
Mothers and Daughters,,140,Paperback,4.4,,https://www.amazon.in/Mothers-Daughters-Leah-Fleming/dp/1847561020/ref=sr_1_76?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-76
"Bridge of Clay: The redemptive, joyous bestseller by the author of THE BOOK THIEF",,404,Paperback,4.2,,https://www.amazon.in/Bridge-Clay-Markus-Zusak/dp/0552774766/ref=sr_1_77?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-77
"The Dilemma: The Sunday Times Top Ten Bestseller from the million-copy, bestselling author of psychological suspense books",,314,Paperback,4.1,,https://www.amazon.in/Dilemma-B-Paris/dp/0008395357/ref=sr_1_78?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-78
"Persons Unknown: The Sunday Times bestseller, Richard and Judy pick and Guardian Book of the Year: Book 2 (Manon Bradshaw)",,72,Paperback,4.3,,https://www.amazon.in/Persons-Richard-Manon-Bradshaw-Thriller/dp/0008123373/ref=sr_1_79?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-79
Strangers: From the author of Sunday Times bestsellers and psychological crime thrillers like Sleep comes the most gripping book of 2020,,305,Paperback,4.3,,https://www.amazon.in/Strangers-gripping-Sunday-Times-bestseller/dp/0008221057/ref=sr_1_80?keywords=best+seller+books&qid=1653311057&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-80
Malibu Rising: THE SUNDAY TIMES BESTSELLER AS SEEN ON TIKTOK,Taylor Jenkins Reid,388,Paperback,4.2,"22,939",https://www.amazon.in/Malibu-Rising-SUNDAY-BESTSELLER-TIKTOK/dp/1529157145/ref=sr_1_81?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-81
"Lessons in Chemistry: The Sunday Times bestseller, BBC Between the Covers and Radio Two Book Club pick",Bonnie Garmus,554,Paperback,4.7,"4,520",https://www.amazon.in/Lessons-Chemistry-Debut-Bonnie-Garmus/dp/0857528130/ref=sr_1_82?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-82
We Begin at the End: Crime Novel of the Year Award Winner 2021,Chris Whitaker,0,Kindle Edition,4.4,"12,559",https://www.amazon.in/We-Begin-End-Chris-Whitaker-ebook/dp/B07PS3TRBV/ref=sr_1_83?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-83
The Button Box: A gripping historical romance saga from the No. 1 Sunday Times Bestseller,Dilly Court,100,Paperback,4.7,800,https://www.amazon.in/Button-Box-Dilly-Court/dp/0008137412/ref=sr_1_84?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-84
The Red Address Book: International fiction bestseller,Sofia Lundberg,323,Paperback,4.4,856,https://www.amazon.in/Red-Address-Book-Sofia-Lundberg/dp/0008277966/ref=sr_1_85?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-85
The Prophet (Pocket Classics),Kahlil Gibran,79,Paperback,4.5,286,https://www.amazon.in/Prophet-Pocket-Classics-Kahlil-Gibran/dp/9386538199/ref=sr_1_86?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-86
"Postscript: The most uplifting and romantic novel, sequel to the international best seller PS, I LOVE YOU",Cecelia Ahern,199,Paperback,4.6,"6,736",https://www.amazon.in/Postscript-Christmas-Sunday-bestselling-sequel/dp/0008194904/ref=sr_1_87?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-87
Tick Tock: The gripping new crime thriller from the million-copy bestseller: Book 2 (DS Grace Allendale),Mel Sherratt,284,Paperback,4.5,886,https://www.amazon.in/Tick-Tock-gripping-thriller-bestseller/dp/0008271070/ref=sr_1_88?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-88
She Met Life: A Story of Transformation,Shweta Maheshwari,299,Paperback,4.2,100,https://www.amazon.in/She-Met-Life-Story-Transformation/dp/9389530091/ref=sr_1_89?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-89
Coffin Road: the Sunday Times Bestseller and BBC Radio 2 Book Club Pick,Peter May,190,Paperback,4.5,"2,379",https://www.amazon.in/Coffin-Road-Peter-May/dp/178429313X/ref=sr_1_90?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-90
The Forgotten Daughter,Renita D’Silva,183,Paperback,4.3,708,https://www.amazon.in/Forgotten-Daughter-Renita-DSilva/dp/8175993219/ref=sr_1_91?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-91
Reminders Of Him: A Novel,Colleen Hoover,147,Paperback,4.5,"77,840",https://www.amazon.in/Reminders-Him-Colleen-Hoover/dp/1542025605/ref=sr_1_92?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-92
"Between Sisters: A warm, wise story about family and friendship from the #1 Sunday Times bestseller",Cathy Kelly,"155
                           
                            .",Kindle Edition,4.4,777,https://www.amazon.in/Between-Sisters-Cathy-Kelly-ebook/dp/B00V3KJWIC/ref=sr_1_93?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-93
An Offer You Can't Refuse: The absolutely IRRESISTIBLE Sunday Times bestseller . . . Your feelgood read for spring!,Jill Mansell,549,Paperback,4.2,"2,028",https://www.amazon.in/Offer-You-Cant-Refuse/dp/0755328167/ref=sr_1_94?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-94
Eleanor Oliphant is Completely Fine: Debut Sunday Times Bestseller and Costa First Novel Book Award winner,Gail Honeyman,280,Paperback,4.5,"49,251",https://www.amazon.in/Eleanor-Oliphant-Completely-Fine-Bestseller/dp/0008172145/ref=sr_1_95?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-95
Hitman Anders and the Meaning of it All,Jonas Jonasson,338,Paperback,4.0,"1,534",https://www.amazon.in/Hitman-Anders-Meaning-Jonas-Jonasson/dp/0008152071/ref=sr_1_96?keywords=best+seller+books&qid=1653311059&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-96
To Kill A Mockingbird: 50th Anniversary Edition: 60th Anniversary Edition,Harper Lee,255,Paperback,4.5,"50,804",https://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484/ref=sr_1_97?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-97
"The Bachelor: Racy, pacy and very funny! (Swell Valley Series, Book 3)",Tilly Bagshawe,"195
                            
                             .",Kindle Edition,4.5,234,https://www.amazon.in/Bachelor-Racy-funny-Swell-Valley-ebook/dp/B017QYY04Y/ref=sr_1_98?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-98
A Sister’s Song: A gripping new historical saga book from the international bestseller: Book 2 (The Victory Sisters),Molly Green,720,Paperback,4.7,276,https://www.amazon.in/Sisters-Song-Victory-Book/dp/0008332479/ref=sr_1_99?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-99
The Silver Serpent: The unmissable new Ben Hope thriller for 2022 from the Sunday Times best selling author: Book 25,Scott Mariani,901,Paperback,4.7,365,https://www.amazon.in/Silver-Serpent-Book-Ben-Hope/dp/0008365571/ref=sr_1_100?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-100
The Personal Shopper: A laugh-out-loud romantic comedy for 2022 from bestseller Carmen Reid (The Annie Valentine Series Book 1),Carmen Reid,0,Kindle Edition,4.2,161,https://www.amazon.in/Personal-Shopper-Carmen-Reid-ebook/dp/B098NCJ232/ref=sr_1_101?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-101
Between Clay and Dust,Musharraf Ali Farooqi,0,Paperback,3.8,17,https://www.amazon.in/Between-Clay-Dust-Musharraf-Farooqi/dp/9382277307/ref=sr_1_102?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-102
"A Winter Baby for Gin Barrel Lane: A heartwarming, page-turning historical saga from bestseller Lindsey Hutchinson",Lindsey Hutchinson,0,Kindle Edition,4.5,"1,528",https://www.amazon.in/Winter-Baby-Gin-Barrel-Lane-ebook/dp/B0942MBM85/ref=sr_1_103?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-103
"Going Home: The first epic, romantic novel from the worldwide bestseller",Danielle Steel,450,Paperback,4.6,700,https://www.amazon.in/Going-Home-Danielle-Steel/dp/0751542474/ref=sr_1_104?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-104
"Again, Rachel: The hilarious new SUNDAY TIMES No 1 bestseller 2022 (Walsh Family, 6)",Marian Keyes,581,Paperback,4.6,"5,923",https://www.amazon.in/Again-Rachel-unmissable-heart-breaking-bestseller/dp/0241441137/ref=sr_1_105?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-105
"The Christmas Rose: The most heart-warming Christmas novel, from the Sunday Times bestseller: Book 3 (The River Maid)",Dilly Court,154,Paperback,4.7,"1,594",https://www.amazon.in/Christmas-Rose-heart-warming-Sunday-bestseller/dp/000819968X/ref=sr_1_106?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-106
"Royal Scandals: Royal Intrigue: Secret Child, Royal Scandal (The Sherdana Royals) / Prince's Son of Scandal / Indian Prince's Hidden Son",Cat Schield,"419
                            
                             .",Paperback,,,https://www.amazon.in/Royal-Scandals-Intrigue-Scandal-Sherdana/dp/0263304728/ref=sr_1_107?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-107
Second Chances at the Log Fire Cabin: A laugh-out-loud Christmas holiday romance from the ebook bestseller,Catherine Ferguson,130,Paperback,4.4,67,https://www.amazon.in/Second-Chances-Fire-Cabin-laugh-out-loud/dp/0008302499/ref=sr_1_108?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-108
Where the Crawdads Sing,Delia Owens,499,Paperback,4.5,"154,652",https://www.amazon.in/Where-Crawdads-Sing-Delia-Owens/dp/0735219109/ref=sr_1_109?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-109
Portrait of a Thief: The Instant Sunday Times & New York Times Bestseller,Grace Li,0,Paperback,3.9,322,https://www.amazon.in/Portrait-Thief-Grace-Li/dp/1529386403/ref=sr_1_110?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-110
"Sins of the Father: A powerful, gritty family drama from the Sunday Times bestseller",Kitty Neale,168,Paperback,4.7,434,https://www.amazon.in/Sins-Father-Kitty-Neale/dp/184756349X/ref=sr_1_111?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-111
The Judge's List: John Grisham’s latest breathtaking bestseller,John Grisham,"324
                            
                             .",Kindle Edition,4.2,"35,494",https://www.amazon.in/Judges-List-breathtaking-bestseller-Christmas-ebook/dp/B097RT9BC4/ref=sr_1_112?keywords=best+seller+books&qid=1653311061&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-112
All Her Fault: The breathlessly twisty Sunday Times bestseller everyone is talking about,,421,Paperback,4.3,,https://www.amazon.in/All-Her-Fault-Andrea-Mara/dp/0552177989/ref=sr_1_113?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-113
A Terrible Kindness (LEAD): The Sunday Times Top 10 Bestseller,,558,Paperback,4.5,,https://www.amazon.in/Terrible-Kindness-Jo-Browning-Wroe/dp/0571368301/ref=sr_1_114?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-114
Hush Hush: From the million-copy bestseller comes her most gripping crime thriller yet: Book 1 (DS Grace Allendale),,135,Paperback,4.4,,https://www.amazon.in/Hush-million-copy-bestseller-gripping-thriller/dp/0008271046/ref=sr_1_115?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-115
Matrix: THE NEW YORK TIMES BESTSELLER,,"309
                            
                             .",Kindle Edition,4.1,,https://www.amazon.in/Matrix-Lauren-Groff-ebook/dp/B08PNZKXH6/ref=sr_1_116?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-116
Sarasvati's Gift,,175,Paperback,4.2,,https://www.amazon.in/Sarasvatis-Gift-Kavita-Kane/dp/0143452568/ref=sr_1_117?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-117
The Rehearsals: The wedding is tomorrow . . . if they can make it through today. An unforgettable romantic comedy,,547,Paperback,4.0,,https://www.amazon.in/Rehearsals-wedding-tomorrow-unforgettable-romantic/dp/152934879X/ref=sr_1_118?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-118
November 9: A Novel,,210,Paperback,4.4,,https://www.amazon.in/November-9-Novel-Colleen-Hoover/dp/1501110349/ref=sr_1_119?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-119
The Rules of Seeing: The original and gripping fiction bestseller,,314,Paperback,4.1,,https://www.amazon.in/Rules-Seeing-Joe-Heap/dp/0008293198/ref=sr_1_120?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-120
The Dictionary of Lost Words: A REESE WITHERSPOON BOOK CLUB PICK,,380,Paperback,4.5,,https://www.amazon.in/Dictionary-Lost-Words-International-Bestseller/dp/1529113229/ref=sr_1_121?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-121
Marriage Reclaimed: Marriage at a Distance / Marriage Under Suspicion / The Marriage Truce,,"250
                            
                             .",Kindle Edition,4.2,,https://www.amazon.in/Marriage-Reclaimed-Distance-Under-Suspicion-ebook/dp/B01I9AEG1Q/ref=sr_1_122?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-122
Still Life: The instant Sunday Times bestseller and BBC Between the Covers Book Club pick,,358,Paperback,4.4,,https://www.amazon.in/Still-Life-instant-bestseller-Between/dp/0008505802/ref=sr_1_123?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-123
"The Sting: A gripping, explosive crime thriller from the No.1 bestseller",,160,Paperback,4.7,,https://www.amazon.in/Sting-Kimberley-Chambers/dp/0008348766/ref=sr_1_124?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-124
The Resistance Girl: An utterly gripping and heartbreaking new release from the bestselling author of world war 2 historical fiction novels for 2022,,399,Paperback,4.5,,https://www.amazon.in/Resistance-Girl-Mandy-Robotham/dp/0008453411/ref=sr_1_125?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-125
"All Adults Here: A funny, uplifting and big-hearted novel about family – an instant New York Times bestseller",,448,Paperback,4.0,,https://www.amazon.in/All-Adults-Here-big-hearted-bestseller/dp/1405921595/ref=sr_1_126?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-126
