Title,Author,Price(in ₹),Book Format,Rating,Ratings Count,URL
"The Start of Something: the new heartwarming romance fiction novel of 2022, from the Sunday Times bestseller of Take A Look At Me Now",,376,Paperback,4.3,,https://www.amazon.in/Start-Something-utterly-charming-bestseller/dp/0008440751/ref=sr_1_16?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-16
One Small Mistake: An addictive and heart racing new thriller,Dandy Smith,0,Kindle Edition,4.4,"2,714",https://www.amazon.in/One-Small-Mistake-addictive-thriller-ebook/dp/B09BCJW3QL/ref=sr_1_17?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-17
The Art of War | Sun Tzu | Hardcover edition | International Bestseller Book,Sun Tzu,134,Hardcover,4.3,"9,089",https://www.amazon.in/Art-Hardcover-International-Bestseller-Book/dp/9391626491/ref=sr_1_18?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-18
Grown Ups: The Sunday Times No 1 Bestseller 2021,Marian Keyes,521,Paperback,4.3,"11,797",https://www.amazon.in/Grown-Ups-Sunday-Times-Bestseller/dp/1405918780/ref=sr_1_19?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-19
Wish I Could Tell You,Durjoy Datta,150,Paperback,4.4,"2,836",https://www.amazon.in/Wish-I-Could-Tell-You/dp/0143448331/ref=sr_1_20?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-20
Every Breath: A captivating story of enduring love from the author of The Notebook,Nicholas Sparks,314,Paperback,4.5,"13,042",https://www.amazon.in/Every-Breath-Nicholas-Sparks/dp/0751575631/ref=sr_1_21?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-21
James Allen : As a Man Thinketh,James Allen,71,Paperback,4.5,"14,774",https://www.amazon.in/As-Man-Thinketh-James-Allen/dp/9385609777/ref=sr_1_22?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-22
"The Sanatorium: The spine-tingling #1 Sunday Times bestseller and Reese Witherspoon Book Club Pick (Detective Elin Warner Series, 1)",Sarah Pearse,388,Paperback,3.8,"17,345",https://www.amazon.in/Sanatorium-spine-tingling-breakout-bestseller-Witherspoon/dp/0552177318/ref=sr_1_23?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-23
A Narrow Door: The electric psychological thriller from the Sunday Times bestseller,Joanne Harris,419,Paperback,4.3,688,https://www.amazon.in/Narrow-Door-electric-psychological-bestseller/dp/1409170845/ref=sr_1_24?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-24
"INSOMNIA: The most shocking thriller of 2022 from the queen of twists and the No.1 Sunday Times Bestselling author of BEHIND HER EYES, now a Netflix series!",Sarah Pinborough,"581
                            
                             .",Paperback,4.1,339,https://www.amazon.in/Pinborough-Untitled-Book-2-Sarah/dp/0008289131/ref=sr_1_25?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-25
